Job_Name,Company_Name,Location,Published_Time,exp_level,exp_years,Job_Type
Senior Media Buyer,Moltaqa,"Mansoura, Dakahlia, Egypt",37 minutes ago,Experienced,3 - 5 Yrs of Exp,Full Time
BI Technical Lead,LINK Development,"Maadi, Cairo, Egypt",31 minutes ago,Manager,5 - 8 Yrs of Exp,Full Time
Real Estate Agent,Confidential,"Zamalek, Cairo, Egypt",27 minutes ago,Experienced,2 - 5 Yrs of Exp,Full Time
Electrical Technical Office Engineer,Elaraby Group,"Cairo, Egypt",26 minutes ago,Entry Level,1 - 2 Yrs of Exp,Full Time
Junior QS Mech. Engineer,Cairo Design Office,"Mohandessin, Giza, Egypt",20 minutes ago,Entry Level,2 - 5 Yrs of Exp,Full Time
Telecom Customer Support Agent,Webhelp,"New Capital, Cairo, Egypt",19 minutes ago,Entry Level,1+ Yrs of Exp,Full Time
Site Mechanical Engineer,Al-Alama Contracting & Supplies,"Giza, Egypt",19 minutes ago,Experienced,2 - 5 Yrs of Exp,Full Time
Software Engineer (Full Stack),Masria Digital Payment (MDP),"New Cairo, Cairo, Egypt",19 minutes ago,Entry Level,0 - 2 Yrs of Exp,Full Time
System Expert,Transmar International ,"New Cairo, Cairo, Egypt",15 minutes ago,Experienced,3 - 5 Yrs of Exp,Full Time
Telesales Team Leader,MG Developments,"Nasr City, Cairo, Egypt",13 minutes ago,Experienced,2 - 4 Yrs of Exp,Full Time
Receptionist,Instasmile dental clinics,"Maadi, Cairo, Egypt",12 minutes ago,Entry Level,1+ Yrs of Exp,Full Time
Elementary English Teachers,Canadian International School,"New Cairo, Cairo, Egypt",5 minutes ago,Experienced,5 - 10 Yrs of Exp,Full Time
German Customer support,Webhelp,"New Cairo, Cairo, Egypt",4 minutes ago,Entry Level,Customer Service/Support,Full Time
Accounting Manager,Cairo Three A  for Agricultural and Animal Production,"Cairo, Egypt",3 minutes ago,Manager,7 - 12 Yrs of Exp,Full Time
real estate resale agent,Conline,"New Cairo, Cairo, Egypt",44 seconds ago,Experienced,1 - 2 Yrs of Exp,Full Time
Sales Specialistl,J&T Express Egypt,"Port Said, Egypt",8 minutes ago,Experienced,1 - 3 Yrs of Exp,Full Time
Senior Electrical Quantity Surveying Engineer,Confidential,"Dokki, Giza, Egypt",9 minutes ago,Senior Management,7 - 10 Yrs of Exp,Full Time
KG/Prim./Prep. English Teacher,GEMS Education,"Madinaty, Cairo, Egypt",11 minutes ago,Experienced,2+ Yrs of Exp,Full Time
